Input,Base Model Output,Fine-tuned Output,Match
My friend told me about this restaurant for a year before he finally took me this weekend.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""restaurant"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""restaurant"",""polarity"":""neutral""}]}",False
i had a delicious shrimp creole.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""shrimp creole"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Shrimp creole"",""polarity"":""positive""}]}",False
The chicken dinner was real good.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""chicken dinner"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Chicken dinner"",""polarity"":""positive""}]}",False
Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""chili"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""food items"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""fire","{""domain"":""restaurants"",""aspects"":[{""term"":""chili signed food items"",""polarity"":""negative""}]}",False
The decor is designed in a contemporary Japanese style restaurant.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""decor"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""Japanese style"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""decor"",""polarity"":""neutral""}]}",False
but the food was delicious.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""food"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Food"",""polarity"":""positive""}]}",False
"Try the ribs, sizzling beef and couple it with coconut rice.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""ribs"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""sizzling beef"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""","{""domain"":""restaurants"",""aspects"":[{""term"":""Ribs"",""polarity"":""positive""},{""term"":""Sizzling beef"",""polarity"":""positive""},{""term"":""Coconut rice"",""polarity"":""neutral""}]}",False
The only drawback is that it's a little pricey.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""pricey"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""price"",""polarity"":""negative""}]}",False
Everything about this place was wonderful.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""everything"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""about"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""this"",","{""domain"":""restaurants"",""aspects"":[{""term"":""Everything about this place"",""polarity"":""positive""}]}",False
The avocado salad is a personal fave.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""avocado salad"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""avocado salad"",""polarity"":""positive""}]}",False
"And, the honey BBQ rib tips are yummy!","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""honey BBQ rib tips"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Honey BBQ rib tips"",""polarity"":""positive""}]}",False
The BEST Chinese food Uptown!,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Chinese food"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Chinese food"",""polarity"":""positive""}]}",False
Service is known for bending over backwards to make everyone happy.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""service"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Service"",""polarity"":""positive""}]}",False
The staff is very friendly.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""staff"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""staff"",""polarity"":""positive""}]}",False
Waiters are very friendly and the pasta is out of this world.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""waiters"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""pasta"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Waiters"",""polarity"":""positive""},{""term"":""Pasta"",""polarity"":""positive""}]}",False
Great wine list and great cocktail menu.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""wine list"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""cocktail menu"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Wine list"",""polarity"":""positive""},{""term"":""Cocktail menu"",""polarity"":""positive""}]}",False
The crab cakes are delicious and the BBQ rib was perfect.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""crab cakes"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""BBQ rib"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""crab cakes"",""polarity"":""positive""},{""term"":""BBQ rib"",""polarity"":""positive""}]}",False
"The food is wonderful, artfully done and simply delicious.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""food"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""artfully done"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""del","{""domain"":""restaurants"",""aspects"":[{""term"":""food"",""polarity"":""positive""}]}",False
Tiny restaurant with very fast service.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""restaurant"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""fast service"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Restaurant size"",""polarity"":""negative""},{""term"":""Service speed"",""polarity"":""positive""}]}",False
My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""service"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""desserts"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""service"",""polarity"":""positive""},{""term"":""desserts"",""polarity"":""positive""}]}",False
"A beautiful atmosphere, perfect for drinks andor appetizers.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""atmosphere"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""drinks"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""","{""domain"":""restaurants"",""aspects"":[{""term"":""Atmosphere"",""polarity"":""positive""},{""term"":""Drinks"",""polarity"":""neutral""},{""term"":""Appetizers"",""polarity"":""neutral""}]}",False
Curioni's Pizza has been around since the 1920's.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Curioni's Pizza"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Curioni's Pizza"",""polarity"":""neutral""}]}",False
They make the best pizza in New Jersey.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""pizza"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""pizza"",""polarity"":""positive""}]}",False
I recently visited over this past summer after being away for a year.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""summer"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""away"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""visited"",""polarity"":""neutral""}]}",False
"What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""service"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""food"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""beer list"",","{""domain"":""restaurants"",""aspects"":[{""term"":""service"",""polarity"":""positive""},{""term"":""food"",""polarity"":""positive""},{""term"":""beer list"",""polarity"":""positive""}]}",False
"Frankly, the chinese food here is something I can make better at home.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Chinese food"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Chinese food"",""polarity"":""negative""}]}",False
There was only one waiter for the whole restaurant upstairs.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""waiter"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""waiter"",""polarity"":""negative""}]}",False
We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""scallops"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""asparagus"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""","{""domain"":""restaurants"",""aspects"":[{""term"":""Scallops"",""polarity"":""neutral""},{""term"":""Asparagus"",""polarity"":""neutral""},{""term"":""Soft shell crab"",""polarity"":""neutral""},{""term"":""Cheese plate"",""polarity"":""neutral""}]}",False
"Not to be overlooked, the service is excellent.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""service"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Service"",""polarity"":""positive""}]}",False
this without question is one of the worst hotdogs i have ever had.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""hotdog"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""hotdogs"",""polarity"":""negative""}]}",False
"The staff is unbelievably friendly, and I dream about their Saag gosht...so good.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""staff"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""Saag gosht"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""staff"",""polarity"":""positive""},{""term"":""Saag gosht"",""polarity"":""positive""}]}",False
I also recommend the garlic knots.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""garlic knots"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Garlic knots"",""polarity"":""positive""}]}",False
Best Indian food I have ever eaten.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Indian food"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Indian food"",""polarity"":""positive""}]}",False
You won't be dissapointed.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""disappointment"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""You won't be disappointed"",""polarity"":""positive""}]}",False
This place has the best pizza.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""pizza"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""pizza"",""polarity"":""positive""}]}",False
Culinaria is a welcome addition to the Garment district far better than any restaurant in the area.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""restaurant"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""Garment district"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Culinaria"",""polarity"":""positive""},{""term"":""Garment district restaurant"",""polarity"":""negative""}]}",False
The music which is sometimes a little too heavy for my taste.,"```json
{
  ""domain"": ""music"",
  ""aspects"": [
    {
      ""term"": ""music"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""heavy"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""music"",""aspects"":[{""term"":""Music"",""polarity"":""negative""}]}",False
The service is excellent and always informative without an air.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""service"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""informational"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Service"",""polarity"":""positive""}]}",False
The owner and staff go to great lengths to make you feel comfortable.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""owner"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""staff"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""owner and staff"",""polarity"":""positive""}]}",False
I can't stand this dungeon.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""dungeon"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""dungeon"",""polarity"":""negative""}]}",False
The sushi is always fresh and yummy and the menu is pretty varied.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""sushi"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""freshness"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""y","{""domain"":""restaurants"",""aspects"":[{""term"":""sushi"",""polarity"":""positive""},{""term"":""menu"",""polarity"":""positive""}]}",False
"The food was great  sushi was good, but the cooked food amazed us.","```json
{
    ""domain"": ""restaurants"",
    ""aspects"": [
        {
            ""term"": ""food"",
            ""polarity"": ""positive""
        },
        {
            ""term"": ""sushi"",
            ""polarity"": ""positive""
        }
    ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""food"",""polarity"":""positive""},{""term"":""sushi"",""polarity"":""positive""},{""term"":""cooked food"",""polarity"":""neutral""}]}",False
their dinner specials are fantastic.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""dinner specials"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""dinner specials"",""polarity"":""positive""}]}",False
Delish and made to your liking!,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Delish"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""made to your liking"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Delish"",""polarity"":""positive""},{""term"":""made to your liking"",""polarity"":""positive""}]}",False
"Great food, great drinks, nice dining atmosphere.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""food"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""drinks"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""dining","{""domain"":""restaurants"",""aspects"":[{""term"":""Food"",""polarity"":""positive""},{""term"":""Drinks"",""polarity"":""positive""},{""term"":""Dining atmosphere"",""polarity"":""positive""}]}",False
"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""food"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""food"",""polarity"":""negative""}]}",False
Food portion was SMALL and below average.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""portion"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Food portion"",""polarity"":""negative""}]}",False
Do yourself a favor and avoid this place at ALL COST!,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""this place"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""this place"",""polarity"":""negative""}]}",False
since the first time I came here I've been hooked.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""hooked"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""first time"",""polarity"":""neutral""},{""term"":""been hooked"",""polarity"":""positive""}]}",False
Sit back in one of those comfortable chairs.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""chairs"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""comfortable chairs"",""polarity"":""positive""}]}",False
"People in the neighborhood seem to love it, too.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""neighborhood"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""People in the neighborhood"",""polarity"":""positive""}]}",False
"in conclusion, THIS PLACE SUCKS!!!","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""THIS PLACE"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""THIS PLACE"",""polarity"":""negative""}]}",False
My favs here are the Tacos Pastor and the Tostada de Tinga...,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Tacos Pastor"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""Tostada de Tinga"",
      ""polarity"": ""positive""
    }
  ]
}","{""domain"":""restaurants"",""aspects"":[{""term"":""Tacos Pastor"",""polarity"":""positive""},{""term"":""Tostada de Tinga"",""polarity"":""positive""}]}",False
"Nick Stef's is one of the only places worthy of going in the area, so if you happen to be by Madison Square Garden or Herald's Square check it out!","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Nick Stef's"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Nick Stef's"",""polarity"":""positive""}]}",False
Have to tell you Not at all impressed.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""impressed"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Overall experience"",""polarity"":""negative""}]}",False
"The bartenders and the managers are really nice and the decor is very comfy and laidback, all the while being trendy.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""bartenders"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""managers"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""decor","{""domain"":""restaurants"",""aspects"":[{""term"":""bartenders"",""polarity"":""positive""},{""term"":""managers"",""polarity"":""positive""},{""term"":""decor"",""polarity"":""positive""}]}",False
"For a savory take on the soup and sandwich meal, try the hot and sour soup.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""hot and sour soup"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""hot and sour soup"",""polarity"":""positive""}]}",False
"This bar has it all  great drinks, cool atmosphere, excellent service and delicious food.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""great drinks"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""cool atmosphere"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""ex","{""domain"":""restaurants"",""aspects"":[{""term"":""drinks"",""polarity"":""positive""},{""term"":""atmosphere"",""polarity"":""positive""},{""term"":""service"",""polarity"":""positive""},{""term"":""food"",""polarity"":""positive""}]}",False
"Also, the chick peas with shrimp appetizer is divine.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""chick peas with shrimp appetizer"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Chick peas with shrimp appetizer"",""polarity"":""positive""}]}",False
"Finally, I got sick of the bad service, obnoxious smirks, and snotty back talk.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""bad service"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""obnoxious smirks"",
      ""polarity"": ""negative""
    },
    {
      ""term","{""domain"":""restaurants"",""aspects"":[{""term"":""service"",""polarity"":""negative""},{""term"":""smirks"",""polarity"":""negative""},{""term"":""back talk"",""polarity"":""negative""}]}",False
How have I never been to Agave before?,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Agave"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Agave"",""polarity"":""neutral""}]}",False
"You're going to drop some coin, but completely worth it, especially if you are looking to impress someone.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""drop some coin"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""completely worth it"",
      ""polarity"": ""positive""
    },
    {
      ""term","{""domain"":""general"",""aspects"":[{""term"":""price"",""polarity"":""positive""},{""term"":""value"",""polarity"":""positive""}]}",False
We ordered lamb which was perfectly cooked and tasted awesome.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""lamb"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""lamb"",""polarity"":""positive""}]}",False
i especially like their soft shell crab sandwich with fries.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""soft shell crab sandwich"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""fries"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""soft shell crab sandwich with fries"",""polarity"":""positive""}]}",False
"if you're looking for authentic hong kongstyle food, look no further.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""hong kongstyle food"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""authentic hong kongstyle food"",""polarity"":""positive""}]}",False
My wife I lived on the west side and found this while visiting firends on the UES.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""west side"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""UES"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""wife"",""polarity"":""neutral""},{""term"":""west side"",""polarity"":""neutral""},{""term"":""UES"",""polarity"":""neutral""}]}",False
good food good wine that's it.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""food"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""wine"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Food"",""polarity"":""positive""},{""term"":""Wine"",""polarity"":""positive""}]}",False
A nice find in the neighborhood.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""nice find"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""A nice find"",""polarity"":""positive""}]}",False
The staff was extremely friendly and pleasant.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""staff"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""staff"",""polarity"":""positive""}]}",False
"And as SOON as one person is done, she asked to pick up the plate immediately.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""plate"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""plate"",""polarity"":""negative""}]}",False
"This place is Italian, not French.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Italian"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""French"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""place"",""polarity"":""neutral""}]}",False
"After so many great reviews here, my bf and I went to Esca to celebrate my birthday last nite.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Esca"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Esca"",""polarity"":""neutral""}]}",False
"While their kitchen food is delicious, their Sushi is out of this world.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""kitchen food"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""Sushi"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Kitchen food"",""polarity"":""positive""},{""term"":""Sushi"",""polarity"":""positive""}]}",False
"There was a heat problem to boot, so it was about 40 degrees in the restaurant  we had to request to uncheck our coats!","```json
{
    ""domain"": ""restaurants"",
    ""aspects"": [
        {
            ""term"": ""heat problem"",
            ""polarity"": ""negative""
        },
        {
            ""term"": ""unchecking coats"",
            ""polarity"": ""neutral""
        }
    ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Heat problem"",""polarity"":""negative""}]}",False
"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""excellent service"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""cute waitresses"",
      ""polarity"": ""positive""
    },
    {
      ""term","{""domain"":""restaurants"",""aspects"":[{""term"":""service"",""polarity"":""positive""},{""term"":""waitresses"",""polarity"":""positive""},{""term"":""atmosphere"",""polarity"":""positive""}]}",False
"It's traditional, simple italian food.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""traditional"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""simple"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""italian"",","{""domain"":""restaurants"",""aspects"":[{""term"":""Traditional Italian food"",""polarity"":""positive""}]}",False
My girlfriend and I just spent our 10 month anniversary at Lou Lou.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Lou Lou"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Lou Lou"",""polarity"":""neutral""}]}",False
"The food is allaround good, with the rolls usually excellent and the sushisashimi not quite on the same level.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""food"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""rolls"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""sushi/s","{""domain"":""restaurants"",""aspects"":[{""term"":""food"",""polarity"":""positive""},{""term"":""rolls"",""polarity"":""positive""},{""term"":""sushisashimi"",""polarity"":""negative""}]}",False
The sashimi is cut a little thinly.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""sashimi"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""sashimi"",""polarity"":""negative""}]}",False
"Bay Terrace mall is nothing ok, almost nothing without it!","```json
{
  ""domain"": ""mall"",
  ""aspects"": [
    {
      ""term"": ""nothing"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""without it!"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Bay Terrace mall"",""polarity"":""negative""}]}",False
